name,x,y,z,scale
dots242,13646.98145,-106.914459,308.300293,656.640625
dots243,13646.97363,-104.868927,341.083191,1681
dots244,13646.97168,-143.815948,331.777496,794.5351563
dots245,13646.95898,-172.568375,315.360046,945.5625
dots246,13646.94434,-182.763367,275.336639,2626.5625
dots247,13646.94629,-201.207031,244.637085,236.390625
dots248,13646.9043,-222.745743,262.014618,656.640625
dots249,13646.93457,-218.596619,238.530121,420.25
dots250,13646.92383,-251.439514,238.416473,1681
dots251,13646.92188,-274.982605,209.771881,945.5625
dots252,13646.91895,-289.326263,183.122742,945.5625
dots253,13646.91602,-278.066223,150.322815,945.5625
dots254,13646.90039,-322.191315,153.319031,2626.5625
dots255,13646.89844,-332.438538,106.22908,1287.015912
dots256,13646.90527,-336.43692,70.380951,236.390625
dots257,13646.89941,-334.377014,52.987808,321.753978
dots258,13646.88477,-357.897034,24.302628,2370.472656
dots259,13646.8916,-338.452332,-5.394867,420.25
dots260,13646.8877,-363.036743,-24.93605,1681
dots261,13646.8916,-344.589569,-50.535553,420.25
dots262,13646.8916,-337.380432,-81.331673,1681
dots263,13646.8916,-310.717651,-103.820976,420.25
dots264,13646.89356,-334.318176,-118.169739,945.5625
dots265,13646.89258,-304.604736,-137.711487,945.5625
dots266,13646.89258,-273.903687,-142.75473,794.5351563
dots267,13646.89258,-307.690094,-166.345825,531.8789063
dots268,13646.8916,-274.773193,-182.788544,2127.515625
dots269,13646.89258,-231.874756,-199.077179,1681
dots270,13646.89356,-202.071152,-195.975006,236.390625
dots271,13646.89453,-188.713989,-226.82312,2626.5625
dots272,13646.89356,-198.950653,-257.504608,236.390625
dots273,13646.89453,-164.083801,-267.730347,1897.691406
dots274,13646.89453,-125.119263,-267.70813,656.640625
dots275,13646.89453,-135.412628,-300.495789,1897.691406
dots276,13646.89356,-88.201401,-294.332184,1897.691406
dots277,13646.89453,-65.643982,-318.925354,236.390625
dots278,13646.89746,-52.326691,-303.550201,531.8789063
dots279,13646.89648,-24.623413,-296.344116,656.640625
dots280,13646.89844,-34.921631,-324.039185,945.5625
dots281,13646.91309,6.091461,-320.91037,2127.515625
dots282,13646.91699,52.302124,-344.551208,2370.472656
dots283,13646.92383,95.301392,-313.736023,2127.515625
dots284,13646.92773,85.050262,-275.78656,656.640625
dots285,13646.94141,125.104614,-264.513489,2895.785156
dots286,13646.94434,172.194168,-230.652542,2895.785156
dots287,13646.97852,203.184418,-181.157089,794.5351563
dots288,13646.99219,241.037109,-165.559097,2127.515625
dots289,13647.00098,229.002777,-215.993774,2626.5625
dots290,13647.04395,266.943481,-195.766159,1109.722923
dots291,13647.02637,288.401428,-167.601837,1109.722923
dots292,13647.03418,266.372528,-146.56694,236.390625
dots293,13647.03809,285.075226,-140.149567,656.640625
dots294,13647.04688,313.760498,-144.516953,1109.722923
dots295,13647.05762,345.734406,-119.918907,1681
dots296,13647.05176,331.928406,-89.441055,420.25
dots297,13647.05566,358.568115,-87.128677,531.8789063
dots298,13647.05957,344.211609,-70.732193,420.25
dots299,13647.06641,370.839935,-56.925766,1477.441714
dots300,13647.07227,346.224243,-21.54921,2127.515625
dots301,13647.07227,321.631714,21.501938,1897.691406
dots302,13647.07227,297.026733,39.948715,420.25
dots303,13647.07617,314.19458,76.287392,3178.140625
dots304,13647.0752,319.533875,130.115753,2370.472656
dots305,13647.0752,303.126038,158.809479,321.753978
dots306,13647.0752,335.899689,173.137909,1897.691406
dots307,13647.0752,294.890198,189.529999,1681
dots308,13647.0752,327.671204,210.012863,794.5351563
dots309,13647.07422,305.097046,220.238831,420.25
dots310,13647.0752,280.491241,222.283417,531.8789063
dots311,13647.0752,264.08429,205.877991,656.640625
dots312,13647.07422,250.965607,239.90918,1897.691406
dots313,13647.0752,288.643982,244.788086,531.8789063
dots314,13647.0752,272.235107,261.179138,420.25
dots315,13647.0752,251.726913,283.720367,1477.441714
dots316,13647.07422,240.223129,325.143219,2127.515625
dots317,13647.07422,197.598938,323.890259,1109.722923
dots318,13647.07422,169.267136,333.699371,531.8789063
dots319,13647.07129,139.312378,335.733002,945.5625
dots320,13647.07031,97.930542,344.728149,1897.691406
dots321,13647.07324,52.028503,339.826599,1681
dots322,13647.07227,17.983093,334.912537,656.640625
dots323,13647.07129,1.579773,318.507568,321.753978
dots324,13647.06641,-5.817596,341.855347,420.25
dots325,13647.05371,-35.334473,332.827332,1681
dots326,13647.05273,-68.137238,345.122589,794.5351563
dots327,13647.04102,-82.446381,380.946411,1897.691406
dots328,13647.0293,-136.794495,377.776367,2895.785156
dots329,13647.0293,-169.644714,347.128845,656.640625
dots330,13646.99707,-203.507416,337.86676,1477.441714
dots331,13646.97949,-197.249725,307.159271,321.753978
dots332,13646.95508,-222.835419,298.834686,1287.015912
dots333,13646.94824,-247.533295,273.232971,531.8789063
dots334,13646.94141,-270.069305,262.976837,420.25
dots335,13646.92188,-295.58429,241.376358,1897.691406
dots336,13646.94141,-320.43158,204.479675,1681
dots337,13646.94922,-343.829041,185.083923,321.753978
dots338,13646.9375,-365.259125,168.684509,1109.722923
dots339,13646.92969,-372.495209,129.688782,2127.515625
dots340,13646.92188,-408.316345,100.052704,1681
dots341,13646.91211,-369.459839,78.458145,1897.691406
dots342,13646.89453,-414.461365,64.123856,945.5625
dots343,13646.87012,-388.731934,48.86763,656.640625
dots344,13646.85352,-414.334961,29.43869,1109.722923
dots345,13646.86426,-393.795166,-1.364044,1287.015912
dots346,13646.85742,-405.162292,-40.346497,1477.441714
dots347,13646.86426,-371.226196,-62.853043,945.5625
dots348,13646.85742,-387.707275,-97.686768,1897.691406
dots349,13646.86426,-366.163818,-132.539886,1109.722923
dots350,13646.86328,-336.401154,-155.079559,1109.722923
dots351,13646.86426,-375.291077,-168.37175,1109.722923
dots352,13646.86426,-370.234161,-201.162079,945.5625
dots353,13646.86328,-324.969727,-199.157822,2370.472656
dots354,13646.86328,-281.960846,-227.899384,1897.691406
dots355,13646.86328,-235.852753,-241.188339,1477.441714
dots356,13646.86328,-265.590271,-262.67334,794.5351563
dots357,13646.86328,-244.041885,-271.874237,236.390625
dots358,13646.86523,-213.274017,-290.462311,2626.5625
dots359,13646.86426,-171.279587,-306.707825,945.5625
dots360,13646.86426,-150.771027,-342.598816,1681
dots361,13646.86426,-109.815094,-332.337891,1681
dots362,13646.86816,-68.745911,-348.712402,1897.691406
dots363,13646.86621,-22.653229,-362.124725,2127.515625
dots364,13646.87109,14.250122,-355.860687,531.8789063
dots365,13646.88574,23.465485,-391.728973,2895.785156
dots366,13646.89356,75.821625,-392.76825,1897.691406
dots367,13646.89063,96.320923,-355.818298,945.5625
dots368,13646.91504,124.974365,-385.476379,2127.515625
dots369,13646.92871,139.369751,-338.459686,2127.515625
dots370,13646.90918,131.169128,-302.483307,531.8789063
dots371,13646.91895,154.769974,-307.618439,321.753978
dots372,13646.93164,178.318863,-318.793427,794.5351563
dots373,13646.94043,175.164932,-280.982056,1897.691406
dots374,13646.94043,207.548294,-253.49585,794.5351563
dots375,13646.9834,222.408783,-292.305603,2370.472656
dots376,13646.98145,240.06723,-257.034149,1109.722923
dots377,13646.99609,274.361237,-285.447998,2370.472656
dots378,13647,276.933167,-235.004379,2127.515625
dots379,13647.01074,303.306793,-259.331757,794.5351563
dots380,13647.01563,315.859863,-232.417282,945.5625
dots381,13647.00879,293.042084,-206.041733,420.25
dots382,13646.99316,317.10022,-191.423462,945.5625
dots383,13647.00488,354.515198,-212.189301,2370.472656
dots384,13647.00684,346.30896,-167.091553,1681
dots385,13647.01856,389.071045,-178.588806,1681
dots386,13647.02148,389.326599,-134.295288,1897.691406
dots387,13647.01465,374.988739,-109.692947,236.390625
dots388,13647.02344,385.216827,-89.199829,945.5625
dots389,13647.02734,412.126953,-97.134369,531.8789063
dots390,13647.03418,413.603943,-54.634216,2370.472656
dots391,13647.04199,387.217529,-27.451553,794.5351563
dots392,13647.04785,416.157806,-11.068451,1287.015912
dots393,13647.04785,379.255676,0.697861,945.5625
dots394,13647.05859,405.330444,29.908722,2127.515625
dots395,13647.05469,364.608673,27.595978,945.5625
dots396,13647.05469,345.872437,51.914856,531.8789063
dots397,13647.05762,376.865906,63.934021,1681
dots398,13647.05273,352.281067,78.825226,420.25
dots399,13647.05371,368.67334,109.568634,2370.472656
dots400,13647.05371,354.312683,142.359741,321.753978
dots401,13647.05371,383.007446,160.805801,2370.472656
dots402,13647.05371,368.650116,197.698868,945.5625
dots403,13647.05371,352.231293,224.33046,531.8789063
dots404,13647.05371,326.378906,249.35556,1897.691406
dots405,13647.05371,296.862854,275.561646,1109.722923
dots406,13647.05371,281.695068,300.586609,656.640625
dots407,13647.05371,279.205811,327.232117,794.5351563
dots408,13647.05273,266.092773,343.192383,236.390625
dots409,13647.05371,257.885376,371.885986,1897.691406
dots410,13647.05273,218.484436,377.146576,1287.015912
dots411,13647.05371,214.010391,348.073853,531.8789063
dots412,13647.05273,184.060425,361.172577,1287.015912
dots413,13647.05176,142.60675,368.479401,1681
dots414,13647.05176,106.139252,382.079346,1109.722923
dots415,13647.04785,68.791138,380.011963,1681
dots416,13647.04785,38.478271,392.312286,236.390625
dots417,13647.04785,21.640472,370.566162,1477.441714
dots418,13647.0459,-2.526978,384.103577,236.390625
dots419,13647.03516,-16.51474,364.390503,945.5625
dots420,13647.0332,-46.640991,363.525574,656.640625
dots421,13647.02148,-35.409943,403.488129,2626.5625
dots422,13647.0127,-74.309784,419.877319,945.5625
dots423,13647.0166,-96.857422,416.832825,236.390625
dots424,13647.01367,-110.263794,402.526642,236.390625
dots425,13646.99805,-126.622437,424.93811,1477.441714
dots426,13646.99512,-161.419464,416.836853,945.5625
dots427,13647,-168.619812,394.237183,236.390625
dots428,13646.99512,-183.970673,401.321533,236.390625
dots429,13646.98438,-186.125336,374.713257,1109.722923
dots430,13646.95313,-203.471497,396.244049,236.390625
dots431,13646.94043,-229.111023,375.670319,1897.691406
dots432,13646.93359,-259.909943,353.229401,656.640625
dots433,13646.95508,-242.460022,328.576691,945.5625
dots434,13646.9209,-274.19342,327.558838,656.640625
dots435,13646.90332,-257.718323,301.83139,656.640625
dots436,13646.89844,-269.009888,281.374481,236.390625
dots437,13646.87988,-301.78064,295.667114,2127.515625
dots438,13646.88379,-323.338104,266.013611,656.640625
dots439,13646.87793,-347.871002,248.512604,1109.722923
dots440,13646.87891,-328.422119,234.2155,236.390625
dots441,13646.88867,-366.355988,211.612488,2127.515625
dots442,13646.89258,-394.053101,182.971619,656.640625
dots443,13646.88086,-406.326813,156.274307,945.5625
dots444,13646.88965,-408.332489,129.679138,236.390625
dots445,13646.86621,-442.039642,129.79213,2127.515625
dots446,13646.86231,-454.318878,83.703552,2127.515625
dots447,13646.87012,-441.072601,47.702454,531.8789063
dots448,13646.86035,-464.643188,33.417297,794.5351563
dots449,13646.8457,-443.076294,25.177124,236.390625
dots450,13646.85059,-440.948303,-7.556641,2127.515625
dots451,13646.85352,-439.952087,-44.561157,420.25
dots452,13646.8418,-430.710602,-77.337891,1897.691406
dots453,13646.84277,-442.056793,-118.276215,1477.441714
dots454,13646.8418,-406.194,-140.866898,1681
dots455,13646.8418,-411.185699,-180.761917,1477.441714
dots456,13646.8418,-404.966858,-226.745392,2626.5625
dots457,13646.8418,-354.811829,-235.089523,1477.441714
dots458,13646.8418,-324.053467,-235.028809,420.25
dots459,13646.8418,-309.699036,-249.427124,236.390625
dots460,13646.8418,-293.291168,-267.868988,794.5351563
dots461,13646.8418,-330.178833,-267.856232,1287.015912
dots462,13646.8418,-311.720123,-296.547699,945.5625
dots463,13646.8418,-267.659607,-302.791107,2370.472656
dots464,13646.84277,-241.939316,-340.619171,1109.722923
dots465,13646.84277,-196.886261,-339.614868,2127.515625
dots466,13646.84277,-217.376221,-374.402161,794.5351563
dots467,13646.84277,-189.722656,-377.497528,656.640625
dots468,13646.84277,-160.016815,-381.588501,1109.722923
dots469,13646.84277,-112.807556,-378.478943,2895.785156
dots470,13646.85156,-61.582733,-394.886902,2370.472656
dots471,13646.86231,-19.464905,-422.453583,2127.515625
dots472,13646.87109,-12.302368,-392.724396,236.390625
dots473,13646.88281,13.311127,-430.586884,321.753978
dots474,13646.89453,45.126617,-437.808533,1897.691406
dots475,13646.89258,77.87149,-426.456787,531.8789063
dots476,13646.94629,114.845734,-433.637207,2127.515625
dots477,13646.90527,146.582642,-416.171204,656.640625
dots478,13646.91602,178.436127,-394.649353,2370.472656
dots479,13646.90723,153.783844,-370.059875,236.390625
dots480,13646.92285,181.432831,-351.638672,1287.015912
dots481,13646.95606,208.081085,-329.016052,1109.722923
dots482,13646.96289,216.276062,-366.956512,1477.441714
dots483,13646.97949,251.070099,-332.03476,2370.472656
dots484,13646.97754,295.210144,-328.457886,945.5625
dots485,13646.97949,315.70755,-310.541504,420.25
dots486,13646.98535,313.651947,-285.666534,656.640625
dots487,13646.99512,342.608978,-299.740265,1287.015912
dots488,13646.99805,340.289276,-261.318146,1477.441714
dots489,13647.00879,381.80304,-281.54776,1897.691406
dots490,13647.00293,371.025879,-249.019592,531.8789063
dots491,13647.01758,401.745789,-234.666641,1897.691406
dots492,13647.02539,436.839264,-205.976715,1477.441714
dots493,13646.99805,422.241943,-181.641525,420.25
dots494,13647.02734,440.396942,-174.96463,420.25
dots495,13647.05469,467.524078,-169.361664,945.5625
dots496,13647.05859,446.213745,-154.745163,420.25
dots497,13647.03613,419.829102,-157.06105,945.5625
dots498,13647.07324,433.593323,-124.002991,1681
dots499,13647.08398,468.967896,-135.773743,794.5351563
dots500,13647.08984,466.899261,-105.567139,945.5625
dots501,13647.08789,493.534088,-93.275742,656.640625
dots502,13647.08301,473.294769,-74.828171,945.5625
dots503,13647.08691,440.480957,-87.127167,1109.722923
dots504,13647.10449,495.789093,-50.251831,1109.722923
dots505,13647.1084,451.208344,-60.503403,531.8789063
dots506,13647.11328,460.076416,-25.144043,2370.472656
dots507,13647.10449,500.102783,-5.443726,945.5625
dots508,13647.09375,495.729614,29.402634,1109.722923
dots509,13647.09766,467.019012,13.532288,656.640625
dots510,13647.10449,440.617065,5.055054,321.753978
dots511,13647.10449,444.177399,29.652222,945.5625
dots512,13647.11523,429.780212,47.543213,236.390625
dots513,13647.12402,467.181458,47.526108,656.640625
dots514,13647.12695,495.593201,68.547272,1109.722923
dots515,13647.13184,456.626556,80.835922,1681
dots516,13647.14063,419.423187,68.78241,1109.722923
dots517,13647.15625,477.016174,121.765869,1897.691406
dots518,13647.16309,433.929016,115.589539,1681
dots519,13647.16602,405.225952,97.138855,656.640625
dots520,13647.17383,403.128815,127.853363,531.8789063
dots521,13647.17481,421.56958,148.346375,656.640625
dots522,13647.17969,450.248779,148.331024,945.5625
dots523,13647.18066,472.791931,166.775696,945.5625
dots524,13647.18555,437.91095,183.152542,1681
dots525,13647.18652,462.501038,203.645203,531.8789063
dots526,13647.1875,429.685852,232.334167,2626.5625
dots527,13647.1875,403.024963,199.525192,1109.722923
dots528,13647.1875,382.515076,228.216522,1109.722923
dots529,13647.1875,394.808716,258.960144,1109.722923
dots530,13647.1875,417.349731,279.451477,531.8789063
dots531,13647.1875,361.975037,248.676056,656.640625
dots532,13647.1875,361.135437,281.008301,1897.691406
dots533,13647.1875,392.69751,302.382629,656.640625
